article_id,article_title,article_link,article_date,gender_first_researcher,gender_first_researcher_text,uni,num_women_mentioned,num_men_mentioned,num_others_mentioned,first_researcher_pictured,num_male_researchers_pictured,num_female_researchers_pictured,num_other_researchers_pictured,num_women_pictured,num_men_pictured,num_other_people_pictured,num_pics,num_first_res_pics,num_female_res_pics,num_male_res_pics,total_people_mentioned
yale_267,A tool for identifying phases of matter,https://news.yale.edu/2019/06/19/tool-identifying-phases-matter,19-Jun-19,1,Man,yale,0,6,0,0,0,0,0,0,0,0,1,0,0,0,6
columbia_179,Combating Climate Change With Artificial Intelligence,https://science.fas.columbia.edu/news/combating-climate-change-with-artificial-intelligence/,5-Jun-19,2,Woman,columbia,2,0,0,1,0,2,0,2,0,0,1,1,2,0,2
harvard_150,"Physics, real and fictional",https://news.harvard.edu/gazette/story/2019/11/how-humans-sense-of-intuitive-physics-touches-fictional-worlds/,14-Nov-19,1,Man,harvard,1,3,0,0,0,0,0,0,0,0,2,1,0,1,4
columbia_221,It’s Raining on the Greenland Ice. In the Winter.,https://science.fas.columbia.edu/news/its-raining-on-the-greenland-ice-in-the-winter/,7-Mar-19,2,Woman,columbia,1,2,0,0,0,0,2,0,0,2,3,0,0,0,3
harvard_159,A clue to biodiversity?,https://news.harvard.edu/gazette/story/2019/10/gene-flow-between-butterfly-species-offers-clue-to-biodiversity/,31-Oct-19,1,Man,harvard,0,3,0,0,0,0,0,0,0,0,2,1,0,1,3
princeton_123,Solutions to urban heat differ between tropical and drier climes,https://www.princeton.edu/news/2019/09/04/solutions-urban-heat-differ-between-tropical-and-drier-climes,"Sept. 4, 2019 1:09 p.m.",1,Man,princeton,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2
princeton_95,Origin story: Rewriting human history through our DNA,https://www.princeton.edu/news/2019/12/18/origin-story-rewriting-human-history-through-our-dna,"Dec. 18, 2019 11:08 a.m.",1,Man,princeton,1,5,0,0,0,0,0,0,0,0,3,1,0,1,6
mit_674,PhD students awarded J-WAFS fellowships for water solutions,https://news.mit.edu/2019/mit-phd-students-awarded-j-wafs-fellowships-water-solutions-0617,17-Jun-19,1,Man,mit,0,4,0,1,2,0,0,0,2,0,1,1,0,2,4
princeton_133,Strange warping geometry helps to push scientific boundaries,https://www.princeton.edu/news/2019/07/15/strange-warping-geometry-helps-push-scientific-boundaries,"July 15, 2019 1:07 p.m.",1,Man,princeton,2,3,0,0,0,0,0,0,0,0,2,0,0,0,5
princeton_104,"Boosting wind farmers, global winds reverse decades of slowing and pick up speed",https://www.princeton.edu/news/2019/11/18/boosting-wind-farmers-global-winds-reverse-decades-slowing-and-pick-speed,"Nov. 18, 2019 1:23 p.m.",1,Man,princeton,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3
