article_title,article_link,article_date,article_id
"8 Surprising Facts About Marie Tharp, Mapmaker Extraordinaire",https://science.fas.columbia.edu/news/8-surprising-facts-about-marie-tharp-mapmaker-extraordinaire/,"July 29, 2020",columbia_0
Columbia Chemistry Receives $21.5 Million Gift from Dr. Ge Li and Dr. Ning Zhao,https://science.fas.columbia.edu/news/columbia-chemistry-receives-21-5-million-gift-from-dr-ge-li-and-dr-ning-zhao/,"July 28, 2020",columbia_1
Columbia Astrophysicist Brian Metzger Named 2020 Blavatnik Laureate,https://science.fas.columbia.edu/news/columbia-astrophysicist-brian-metzger-named-2020-blavatnik-laureate/,"July 22, 2020",columbia_2
Lamont-Doherty Program Aims to Bring More Diversity to Earth Science,https://science.fas.columbia.edu/news/lamont-doherty-program-aims-to-bring-more-diversity-to-earth-science/,"July 22, 2020",columbia_3
Genetics Could Protect Coral Reefs from Global Warming,https://science.fas.columbia.edu/news/genetics-could-protect-coral-reefs-from-global-warming/,"July 16, 2020",columbia_4
Groundbreaking Project Will Drill Into Bedrock Below Greenland Ice to Understand Past and Future Melting,https://science.fas.columbia.edu/news/groundbreaking-project-will-drill-into-bedrock-below-greenland-ice-to-understand-past-and-future-melting/,"July 16, 2020",columbia_5
Understanding and Predicting Hurricanes in a Warmer World,https://science.fas.columbia.edu/news/understanding-and-predicting-hurricanes-in-a-warmer-world/,"July 13, 2020",columbia_6
Columbia to Establish a Climate School to Meet the Challenges of a Warming World,https://science.fas.columbia.edu/news/columbia-to-establish-a-climate-school-to-meet-the-challenges-of-a-warming-world/,"July 10, 2020",columbia_7
Scientists Warn of Wide Impacts on Midwaters Around Deep-Sea Mining Sites,https://science.fas.columbia.edu/news/scientists-warn-of-wide-impacts-on-midwaters-around-deep-sea-mining-sites/,"July 8, 2020",columbia_8
Tree Rings Show Unprecedented Rise in Extreme Weather in South America,https://science.fas.columbia.edu/news/tree-rings-show-unprecedented-rise-in-extreme-weather-in-south-america/,"July 7, 2020",columbia_9
2D Semiconductors Found to Be Close-To-Ideal Fractional Quantum Hall Platform,https://science.fas.columbia.edu/news/2d-semiconductors-found-to-be-close-to-ideal-fractional-quantum-hall-platform/,"July 6, 2020",columbia_10
Columbia Researchers Receive Facebook Award to Enhance Probabilistic Programming,https://science.fas.columbia.edu/news/columbia-researchers-receive-facebook-award-to-enhance-probabilistic-programming/,"July 1, 2020",columbia_11
