article_title,article_link,article_date,article_id
Pandemic academics,https://news.harvard.edu/gazette/story/2020/10/hands-on-lessons-are-at-the-crux-of-new-harvard-course/,"October 13, 2020",harvard_0
Deep learning takes on synthetic biology,https://news.harvard.edu/gazette/story/2020/10/analyzing-toehold-sequences-for-synthetic-biology/,"October 7, 2020",harvard_1
A timeline on the evolution of reptiles,https://news.harvard.edu/gazette/story/2020/10/new-timeline-on-reptile-evolution-rebuts-long-held-theories/,"October 6, 2020",harvard_2
"Six-year deluge linked to Spanish flu, World War I deaths",https://news.harvard.edu/gazette/story/2020/10/study-offers-clues-to-how-climate-affected-1918-pandemic/,"October 5, 2020",harvard_3
Interplanetary storm chasing,https://news.harvard.edu/gazette/story/2020/10/3d-model-seeks-to-explain-mysterious-hexagon-storm-on-saturn/,"October 5, 2020",harvard_4
How cells sort themselves,https://news.harvard.edu/gazette/story/2020/10/signaling-mechanism-allows-chaotic-cells-to-self-organize/,"October 2, 2020",harvard_5
When it hits 100 degrees in Siberia …,https://news.harvard.edu/gazette/story/2020/09/harvard-climate-change-expert-discusses-extreme-heat/,"September 30, 2020",harvard_6
Infection detection,https://news.harvard.edu/gazette/story/2020/09/new-tool-offers-insights-into-antibody-response-to-covid-19/,"September 29, 2020",harvard_7
A model of how museums can share their collections more widely,https://news.harvard.edu/gazette/story/2020/09/3d-images-of-19th-century-glass-marine-invertebrates-go-online/,"September 28, 2020",harvard_8
A map of the human heart,https://news.harvard.edu/gazette/story/2020/09/map-of-the-human-heart-could-guide-treatments/,"September 27, 2020",harvard_9
An emergency response team for data?,https://news.harvard.edu/gazette/story/2020/09/harvard-journal-keeps-data-scientists-connected-during-covid/,"September 18, 2020",harvard_10
Your shoes were made for walking. And that may be the problem,https://news.harvard.edu/gazette/story/2020/09/curve-on-shoes-makes-walking-easier-but-may-lead-to-foot-problems/,"September 17, 2020",harvard_11
How the West became WEIRD,https://news.harvard.edu/gazette/story/2020/09/joseph-henrich-explores-weird-societies/,"September 16, 2020",harvard_12
On the clock,https://news.harvard.edu/gazette/story/2020/09/machine-learning-models-predict-mice-lifespan/,"September 15, 2020",harvard_13
Viewing flattened fossils in a new light,https://news.harvard.edu/gazette/story/2020/09/harvard-researchers-make-sense-of-ancient-fossils-using-3d/,"September 14, 2020",harvard_14
A cool first for Harvard,https://news.harvard.edu/gazette/story/2020/09/harvard-team-uses-laser-to-cool-polyatomic-molecule/,"September 11, 2020",harvard_15
