article_title,article_link,article_date,article_id
Solar-powered system extracts drinkable water from “dry” air,https://news.mit.edu/2020/solar-extracts-drinkable-water-1014,NA,mit_0
Technique recovers lost single-cell RNA-sequencing information,https://news.mit.edu/2020/sc-rna-sequencing-fidelity-1013,,mit_1
"To make mini-organs grow faster, give them a squeeze",https://news.mit.edu/2020/cell-crowding-organs-grow-1013,,mit_2
Kofi Blake is bringing people together,https://news.mit.edu/2020/kofi-blake-president-1013,,mit_3
"Superconductor technology for smaller, sooner fusion",https://news.mit.edu/2020/superconductor-technology-smaller-sooner-fusion-1013,,mit_4
A step toward a universal flu vaccine,https://news.mit.edu/2020/universal-flu-vaccine-1007,,mit_5
Sheila Widnall: A lifetime exploring the unknown,https://news.mit.edu/2020/sheila-widnall-lifetime-exploring-unknown-1009,,mit_6
3 Questions: Why getting ahead of Covid-19 requires modeling more than a health crisis,https://news.mit.edu/2020/covid-19-modeling-1006,,mit_7
Turning diamond into metal,https://news.mit.edu/2020/diamond-metal-conductor-1005,,mit_8
Nanoparticles can turn off genes in bone marrow cells,https://news.mit.edu/2020/nanoparticles-bone-marrow-rnai-1005,,mit_9
How we make moral decisions,https://news.mit.edu/2020/moral-decisions-universalization-1002,,mit_10
Three from MIT receive National Health Institute Awards,https://news.mit.edu/2020/three-mit-receive-national-health-institute-awards-1006,,mit_11
A champion of renewable energy,https://news.mit.edu/2020/darya-guettler-renewable-1002,,mit_12
Antarctic sea ice may not cap carbon emissions as much as previously thought,https://news.mit.edu/2020/antarctic-ice-carbon-emissions-1001,,mit_13
3 Questions: Nancy Hopkins on improving gender equality in academia,https://news.mit.edu/2020/3-questions-nancy-hopkins-improving-gender-equality-in-academia-0930,,mit_14
Mentorship program encourages underrepresented graduate applicants in EECS,https://news.mit.edu/2020/gaap-mentorship-encourages-underrepresented-students-eecs-1013,,mit_15
MIT Proto Ventures program readies new startups for launch,https://news.mit.edu/2020/mit-proto-ventures-program-readies-new-startups-for-launch-1013,,mit_16
Validating the physics behind the new MIT-designed fusion experiment,https://news.mit.edu/2020/physics-fusion-studies-0929,,mit_17
Less scatterbrained scatterplots,https://news.mit.edu/2020/less-scatterbrained-scatterplots-1007,,mit_18
MIT chapter of the Phi Beta Kappa Society inducts 115 students from the Class of 2020,https://news.mit.edu/2020/mit-chapter-phi-beta-kappa-inducts-115-students-1005,,mit_19
New website features podcasts from around MIT,https://news.mit.edu/2020/podcasts-around-mit-0929,,mit_20
Helping companies navigate Covid-19,https://news.mit.edu/2020/helping-companies-navigate-pandemic-yossi-sheffi-new-abnormal-1001,,mit_21
3 Questions: Ram Sasisekharan on hastening vaccines and treatments,https://news.mit.edu/2020/3-questions-ram-sasisekharan-hastening-development-infectious-disease-vaccines-treatments-1008,,mit_22
Anticipating heart failure with machine learning,https://news.mit.edu/2020/anticipating-heart-failure-machine-learning-1001,,mit_23
Undergraduates ramp up research during pandemic diaspora,https://news.mit.edu/2020/undergraduates-ramp-research-during-pandemic-diaspora-1007,,mit_24
New Semilab SE-2000 Spectroscopic Ellipsometer at MIT.nano,https://news.mit.edu/2020/semilab-se-2000-spectroscopic-ellipsometer-mitnano-0925,,mit_25
"Cancer researchers collaborate, target DNA damage repair pathways for cancer therapy",https://news.mit.edu/2020/cancer-researchers-collaborate-target-pathways-for-cancer-therapies-1001,,mit_26
SMART researchers receive Intra-CREATE grant for personalized medicine and cell therapy,https://news.mit.edu/2020/smart-researchers-receive-intra-create-grant-personalized-medicine-cell-therapy-1001,,mit_27
MIT researchers highlight the impacts of logjams in river restoration projects,https://news.mit.edu/2020/mit-research-impacts-logjams-river-restoration-projects-0925,,mit_28
3Q: Fighting racism in the nuclear community,https://news.mit.edu/2020/fighting-racism-nuclear-0919,,mit_29
Engineers produce a fisheye lens that’s completely flat,https://news.mit.edu/2020/flat-fisheye-lens-0918,,mit_30
Helping robots avoid collisions,https://news.mit.edu/2020/realtime-robots-motion-0917,,mit_31
Rapid test for Covid-19 shows improved sensitivity,https://news.mit.edu/2020/rapid-covid-19-test-0917,,mit_32
Teaching mechanical engineering in a pandemic,https://news.mit.edu/2020/teaching-mechanical-engineering-in-a-pandemic-0918,,mit_33
