article_title,article_link,article_date,article_id
In defense of (mathematical) models,https://news.yale.edu/2020/10/13/defense-mathematical-models,"October 13, 2020",yale_0
Single-molecule switch a step toward ever-smaller electronics,https://news.yale.edu/2020/10/12/single-molecule-switch-step-toward-ever-smaller-electronics,"October 12, 2020",yale_1
Path to a Nobel: Yale stop critical for gene editing pioneer,https://news.yale.edu/2020/10/12/path-nobel-yale-stop-critical-gene-editing-pioneer,"October 12, 2020",yale_2
Looking for pieces of Venus? Try the moon,https://news.yale.edu/2020/10/07/looking-pieces-venus-try-moon,"October 7, 2020",yale_3
Planetary scientist wins early career award,https://news.yale.edu/2020/10/06/planetary-scientist-wins-early-career-award,"October 6, 2020",yale_4
Neurobiology of conversation: Brain activity depends on who you talk to,https://news.yale.edu/2020/10/05/neurobiology-conversation-brain-activity-depends-who-you-talk,"October 5, 2020",yale_5
"With multilayered approach, a filter to meet freshwater supply needs",https://news.yale.edu/2020/10/05/multilayered-approach-filter-meet-freshwater-supply-needs,"October 5, 2020",yale_6
"Mapping the retina, eating on the savanna, and treating severe COVID-19",https://news.yale.edu/2020/10/02/mapping-retina-eating-savanna-and-treating-severe-covid-19,"October 2, 2020",yale_7
National Geographic goes big on dinosaurs — and big on Yale paleontology,https://news.yale.edu/2020/09/30/national-geographic-goes-big-dinosaurs-and-big-yale-paleontology,"September 30, 2020",yale_8
Robotic fabric: A breakthrough with many uses,https://news.yale.edu/2020/09/29/robotic-fabric-breakthrough-many-uses,"September 29, 2020",yale_9
Throwing a warm sheet over our understanding of ice and climate,https://news.yale.edu/2020/09/28/throwing-warm-sheet-over-our-understanding-ice-and-climate,"September 28, 2020",yale_10
"Maruyama, Lesher elected fellows by the American Physical Society",https://news.yale.edu/2020/09/28/maruyama-lesher-elected-fellows-american-physical-society,"September 28, 2020",yale_11
‘Firsts and Founders’ series profiles women in Faculty of Arts and Sciences,https://news.yale.edu/2020/09/23/firsts-and-founders-series-profiles-women-faculty-arts-and-sciences,"September 23, 2020",yale_12
A new spin on supermassive black holes,https://news.yale.edu/2020/09/23/new-spin-supermassive-black-holes,"September 23, 2020",yale_13
Two Yale faculty named among most inspiring Hispanic/Latinx scientists,https://news.yale.edu/2020/09/22/two-yale-faculty-named-among-most-inspiring-hispaniclatinx-scientists,"September 22, 2020",yale_14
Wastewater predicts COVID-19 outbreaks days before diagnostic testing,https://news.yale.edu/2020/09/18/wastewater-predicts-covid-19-outbreaks-days-diagnostic-testing,"September 18, 2020",yale_15
Holding up a mirror to a dark matter discrepancy,https://news.yale.edu/2020/09/10/holding-mirror-dark-matter-discrepancy,"September 10, 2020",yale_16
Simple change to microscope opens up complex panorama of cells,https://news.yale.edu/2020/09/10/simple-change-microscope-opens-complex-panorama-cells,"September 10, 2020",yale_17
Scientists solve decades-old puzzle about Lyme disease,https://news.yale.edu/2020/09/09/scientists-solve-decades-old-puzzle-about-lyme-disease,"September 9, 2020",yale_18
Insights & Outcomes: Schoelkopf on quantum council and a dopamine discovery,https://news.yale.edu/2020/09/09/insights-outcomes-schoelkopf-quantum-council-and-dopamine-discovery,"September 9, 2020",yale_19
Lighting the way for new solar fuels science,https://news.yale.edu/2020/09/04/lighting-way-new-solar-fuels-science,"September 4, 2020",yale_20
Yale researchers find a cause and possible treatment for Fragile X,https://news.yale.edu/2020/09/03/yale-researchers-find-cause-and-possible-treatment-fragile-x,"September 3, 2020",yale_21
"Asphalt adds to air pollution, especially on hot, sunny days",https://news.yale.edu/2020/09/02/asphalt-adds-air-pollution-especially-hot-sunny-days,"September 2, 2020",yale_22
Mary-Louise Timmermans appointed the Damon Wells Professor,https://news.yale.edu/2020/08/27/mary-louise-timmermans-appointed-damon-wells-professor,"August 27, 2020",yale_23
Yale scientists to help lead national quantum center,https://news.yale.edu/2020/08/26/yale-scientists-help-lead-national-quantum-center,"August 26, 2020",yale_24
Optical illusions explained in a fly’s eyes,https://news.yale.edu/2020/08/24/optical-illusions-explained-flys-eyes,"August 24, 2020",yale_25
Three Yale researchers receive funding from Chan Zuckerberg Initiative,https://news.yale.edu/2020/08/20/three-yale-researchers-receive-funding-chan-zuckerberg-initiative,"August 20, 2020",yale_26
In portrait: nature’s master thief as a young enzyme,https://news.yale.edu/2020/08/19/portrait-natures-master-thief-young-enzyme,"August 19, 2020",yale_27
Yale to lead international team studying brain evolution,https://news.yale.edu/2020/08/17/yale-lead-international-team-studying-brain-evolution,"August 17, 2020",yale_28
Shock to bacteria activates nature’s electrical grid,https://news.yale.edu/2020/08/17/shock-bacteria-activates-natures-electrical-grid,"August 17, 2020",yale_29
Researchers track origin of one of nature’s biggest killers,https://news.yale.edu/2020/08/17/researchers-track-origin-one-natures-biggest-killers,"August 17, 2020",yale_30
Yale quantum researchers create an error-correcting cat,https://news.yale.edu/2020/08/12/yale-quantum-researchers-create-error-correcting-cat,"August 12, 2020",yale_31
New nitrogen products are in the air,https://news.yale.edu/2020/08/12/new-nitrogen-products-are-air,"August 12, 2020",yale_32
