"","building_code","file_name","total_people_pictured","men_count_final","women_count_final","ambig_count_final"
"1",1,"IMG_3901","3",0,4,0
"2",1,"IMG_3901","2",0,1,1
"3",1,"IMG_3901","3",2,0,1
"4",1,"IMG_3901","3",1,1,0
"5",1,"IMG_3901","1",1,0,0
"6",1,"IMG_3901","3",0,3,0
"7",1,"IMG_3901","3",1,0,0
"8",1,"IMG_3901","1",0,1,0
"9",1,"IMG_3901","1",0,1,0
"10",1,"IMG_3901","1",1,0,0
"11",1,"IMG_3901","1",0,1,0
"12",1,"IMG_3901","1",1,0,0
"13",1,"IMG_3901","4",1,3,0
"14",1,"IMG_3901","1",1,0,0
"15",1,"IMG_3901","1",0,1,0
"16",1,"IMG_3901","1",1,0,0
"17",1,"IMG_3901","1",1,0,0
"18",1,"IMG_3901","1",1,0,0
"19",1,"IMG_3901","1",0,1,0
"20",1,"IMG_3901","1",0,1,0
"21",1,"IMIG_3901","1",0,1,0
"22",1,"IMG_3901","1",1,0,0
"23",1,"IMG_3901","4",0,4,0
"24",1,"IMG_3901","1",0,1,0
"25",1,"IMG_3901","1",0,0,1
"26",1,"IMG_3901","2",2,0,0
"27",1,"IMG_3901","2",1,1,0
"28",1,"IMG_3901","2",1,1,0
"29",1,"IMG_3901","2",2,0,0
"30",1,"IMG_3902","1",0,1,0
"31",1,"IMG_3915","1",0,1,0
"32",1,"IMG_3917","1",0,2,0
"33",1,"IMG_3917","2",1,1,0
"34",1,"IMG_3917","2",0,2,0
"35",1,"IMG_3917","4",0,4,0
"36",1,"IMG_3917","2",2,0,0
"37",1,"IMG_3918","1",1,0,0
"38",1,"IMG_3922","1",1,0,0
"39",1,"IMG_3924","1",1,0,0
"40",1,"IMG_3925","1",1,0,0
"41",1,"IMG_3926","1",1,0,0
"42",1,"IMG_3939","1",1,0,0
"43",1,"IMG_3948","8",5,3,0
"44",1,"IMG_3977","1",1,0,0
"45",1,"IMG_3977","1",1,0,0
"46",1,"IMG_3977","1",0,1,0
"47",1,"IMG_3977","1",1,0,0
"48",1,"IMG_3978","2",1,0,0
"49",1,"IMG_3978","2",0,1,0
"50",1,"IMG_3979","2",0,1,0
"51",1,"IMG_3979","1",1,0,0
"52",1,"IMG_3980","1",1,0,0
"53",1,"IMG_3981","7",7,0,0
"54",1,"IMG_3982","1",1,0,0
"55",1,"IMG_3983","1",1,0,0
"56",1,"IMG_3984","1",1,0,0
"57",1,"IMG_3985","6",4,2,0
"58",1,"IMG_3985","~41",28,10,4
"59",1,"IMG_3988","1",1,0,0
"60",1,"IMG_3989","4",3,1,0
"61",1,"IMG_3991","1",1,0,0
"62",1,"IMG_3996","1",0,1,0
"63",1,"IMG_3996","1",1,0,0
"64",1,"IMG_3996","1",1,0,0
"65",1,"IMG_3996","1",1,0,0
"66",1,"IMG_3996","1",1,0,0
"67",1,"IMG_3996","1",0,1,0
"68",1,"IMG_3996","1",0,1,0
"69",1,"IMG_3996","1",1,0,0
"70",1,"IMG_3996","1",0,1,0
"71",1,"IMG_3996","1",1,0,0
"72",1,"IMG_3996","1",1,0,0
"73",1,"IMG_3996","1",0,1,0
"74",1,"IMG_3996","1",1,0,0
"75",1,"IMG_3996","1",0,1,0
"76",1,"IMG_3996","1",0,1,0
"77",1,"IMG_3996","1",1,0,0
"78",1,"IMG_3996","1",0,1,0
"79",1,"IMG_3996","1",1,0,0
"80",1,"IMG_3996","1",1,0,0
"81",1,"IMG_4001","1",1,0,0
"82",1,"IMG_4002","1",1,0,0
"83",1,"IMG_4003","1",1,0,0
"84",1,"IMG_4004","3",2,1,0
"85",1,"IMG_4006","1",1,0,0
"86",1,"IMG_4007","7",6,1,0
"87",1,"IMG_4010","~74",45,25,4
"88",1,"IMG_4012","1",0,1,0
"89",1,"IMG_4012","1",1,0,0
"90",1,"IMG_4012","1",1,0,0
"91",1,"IMG_4012","1",1,0,0
"92",1,"IMG_4012","1",1,0,0
"93",1,"IMG_4012","1",1,0,0
"94",1,"IMG_4012","1",1,0,0
"95",1,"IMG_4012","1",1,0,0
"96",1,"IMG_4012","1",1,0,0
"97",1,"IMG_4013","1",1,0,0
"98",1,"IMG_4013","1",1,0,0
"99",1,"IMG_4013","1",1,0,0
"100",1,"IMG_4013","1",0,1,0
"101",1,"IMG_4013","1",1,0,0
"102",1,"IMG_4014","1",1,0,0
"103",1,"IMG_4014","1",1,0,0
"104",1,"IMG_4014","1",1,0,0
"105",1,"IMG_4014","1",1,0,0
"106",1,"IMG_4014","1",1,0,0
"107",1,"IMG_4014","1",1,0,0
"108",1,"IMG_4014","1",1,0,0
"109",1,"IMG_4014","1",1,0,0
"110",1,"IMG_4014","1",1,0,0
"111",1,"IMG_4016","1",1,0,0
"112",1,"IMG_4016","1",1,0,0
"113",1,"IMG_4016","1",1,0,0
"114",1,"IMG_4016","1",0,1,0
"115",1,"IMG_4017","1",1,0,0
"116",1,"IMG_4017","1",1,0,0
"117",1,"IMG_4018","1",1,0,0
"118",1,"IMG_4018","1",1,0,0
"119",1,"IMG_4019","1",1,0,0
"120",1,"IMG_4019","1",0,1,0
"121",1,"IMG_4019","5",3,2,0
"122",1,"IMG_4019","2",1,1,0
"123",1,"IMG_4020","3",3,0,0
"124",1,"IMG_4020","3",3,0,0
"125",1,"IMG_4020","4",2,2,0
"126",1,"IMG_4020","2",2,0,0
"127",1,"IMG_4020","2",0,2,0
"128",1,"IMG_4021","1",1,0,0
"129",1,"IMG_4021","2",2,0,0
"130",1,"IMG_4022","5",3,2,0
"131",1,"IMG_4022","1",0,1,0
"132",1,"IMG_4022","1",0,1,0
"133",1,"IMG_4022","1",0,1,0
"134",1,"IMG_4023","4",3,1,0
"135",1,"IMG_4023","3",3,0,0
"136",1,"IMG_4023","1",0,1,0
