"","gender_person_1","gender_person_2","gender_person_3","gender_person_4","gender_person_5","gender_person_6","gender_person_7","gender_person_8","gender_person_9","gender_person_10","total_people_pictured","total_women","total_men","total_ambiguous","building_code","clean_img_name"
"1",1,1,1,1,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,1,"IMG_3901"
"2",1,0,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_3901"
"3",2,2,0,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,1,"IMG_3901"
"4",2,1,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,1,"IMG_3901"
"5",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"6",1,1,1,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,1,"IMG_3901"
"7",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,1,"IMG_3901"
"8",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"10",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"11",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"12",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"13",2,1,1,1,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,1,"IMG_3901"
"14",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"16",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"17",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"18",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"19",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"20",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"21",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"22",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"23",1,1,1,1,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,1,"IMG_3901"
"24",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"25",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3901"
"26",2,2,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_3901"
"27",1,2,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_3901"
"28",1,2,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_3901"
"29",2,2,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_3901"
"30",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3902"
"31",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3915"
"32",1,1,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3917"
"33",1,2,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_3917"
"34",1,1,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_3917"
"35",1,1,1,1,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,1,"IMG_3917"
"36",2,2,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_3917"
"37",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3918"
"38",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3922"
"39",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3924"
"40",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3925"
"41",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3926"
"42",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3939"
"43",2,2,2,2,1,2,1,1,NA,NA,"8",NA,NA,NA,1,"IMG_3948"
"44",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3977"
"45",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3977"
"46",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3977"
"47",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3977"
"48",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_3978"
"49",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_3978"
"50",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,1,"IMG_3979"
"51",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3979"
"52",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3980"
"53",2,2,2,2,2,2,2,NA,NA,NA,"7",NA,NA,NA,1,"IMG_3981"
"54",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3982"
"55",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3983"
"56",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3984"
"57",2,2,1,2,2,1,NA,NA,NA,NA,"6",NA,NA,NA,1,"IMG_3985"
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"~41",10,28,4,1,"IMG_3985"
"59",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3988"
"60",2,2,2,1,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,1,"IMG_3989"
"61",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3991"
"62",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,1,"IMG_3996"
