StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,age,race,race_5_TEXT,ethnicity,ethnicity_5_TEXT,major.declare,gender,gender_3_TEXT,against.time_First Click,against.time_Last Click,against.time_Page Submit,against.time_Click Count,genes.time_First Click,genes.time_Last Click,genes.time_Page Submit,genes.time_Click Count,shell.time_First Click,shell.time_Last Click,shell.time_Page Submit,shell.time_Click Count,stimuli.title,stimuli.topic.FR,anagram1.time_First Click,anagram1.time_Last Click,anagram1.time_Page Submit,anagram1.time_Click Count,anagram1,anagram2.time_First Click,anagram2.time_Last Click,anagram2.time_Page Submit,anagram2.time_Click Count,anagram2,anagram3.time_First Click,anagram3.time_Last Click,anagram3.time_Page Submit,anagram3.time_Click Count,anagram3,anagram4.time_First Click,anagram4.time_Last Click,anagram4.time_Page Submit,anagram4.time_Click Count,anagram4,anagram5.time_First Click,anagram5.time_Last Click,anagram5.time_Page Submit,anagram5.time_Click Count,anagram5,anagram6.time_First Click,anagram6.time_Last Click,anagram6.time_Page Submit,anagram6.time_Click Count,anagram6,anagram7.time_First Click,anagram7.time_Last Click,anagram7.time_Page Submit,anagram7.time_Click Count,anagram7,anagram8.time_First Click,anagram8.time_Last Click,anagram8.time_Page Submit,anagram8.time_Click Count,anagram8,anagram9.time_First Click,anagram9.time_Last Click,anagram9.time_Page Submit,anagram9.time_Click Count,anagram9,anagram10.time_First Click,anagram10.time_Last Click,anagram10.time_Page Submit,anagram10.time_Click Count,anagram10,creativity.time_First Click,creativity.time_Last Click,creativity.time_Page Submit,creativity.time_Click Count,creativity,interest_1,interest_2,interest_3,interest_4,interest_5,interest_6,interest_7,interest_8,interest_9,interest_10,interest_11,interest_12,interest_13,interest_14,interest_15,interest_16,interest_17,interest_18,lead_1,lead_2,lead_3,lead_4,lead_5,lead_6,lead_7,pj.fit_1,pj.fit_2,pj.fit_3,pj.fit_4,pj.fit_5,confidence_1,confidence_2,confidence_3,selfeff_1,selfeff_2,selfeff_3,selfeff_4,selfeff_5,selfeff_6,selfeff_7,selfeff_8,selfeff_9,selfeff_10,selfeff_11,selfeff_12,selfeff_13,selfeff_14,selfeff_15,selfeff_16,selfeff_17,selfeff_18,dd.interest,dd.graduate,dd.prof,dd.gender.good,dd.gender.career,dd.important,dd.useful,dd.care,dd.school_1,dd.school_2,dd.school_3,dd.school_4,dd.school_5,dd.school_6,dd.school_7,dd.school_8,dd.school_9,dd.school_10,dd.school_11,dd.school_12,dd.school_13,dd.school_14,dd.major,gender.belief_1,gender.belief_2,gender.belief_3,gender.belief_4,suspicion,manip.gender,manip.image,major,major_58_TEXT,stem.major,stem.major_58_TEXT,semester,stem.classes.num,stem.classes.list,psych485
2/15/19 19:26,2/15/19 19:27,Survey Preview,100,9,TRUE,2/15/19 19:27,R_3nIB4SVUTsddQSX,preview,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/19 20:30,2/16/19 20:43,Survey Preview,100,739,TRUE,2/16/19 20:43,R_1f7uMorVt0nCcBB,preview,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Extremely unconfident,Extremely unlikely,Extremely unlikely,Extremely more men,,Extremely unimportant,Extremely useless,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,,,,,,,,,,,,,,,
2/18/19 11:51,2/18/19 13:16,IP Address,45,5066,FALSE,2/25/19 13:40,R_3hGeRjjDIiTAAnG,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/19 7:20,2/26/19 7:49,Survey Preview,100,1709,TRUE,2/26/19 7:49,R_2PoIVgw1vK4zAvX,preview,EN,Yes,,,,,,,,,,,,,,,,,0,0,4.392,0,Against the tide: Fish quickly adapt to lethal levels of pollution,TEST,0,0,1.772,0,,0,0,1.164,0,,0,0,0.57,0,,0,0,0.466,0,,0,0,0.437,0,,0,0,0.429,0,,0,0,0.445,0,,0,0,0.715,0,,0,0,0.483,0,,0,0,1.956,0,,3.24,3.24,5.071,1,TEST,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Extremely unconfident,Extremely unlikely,Extremely unlikely,Extremely more men,Extremely more men,Extremely unimportant,Extremely useless,Not at all,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,TEST,Woman,Man,Electrical and Computer Engineering,,,,,,,
2/26/19 8:10,2/26/19 8:11,Survey Preview,100,51,TRUE,2/26/19 8:11,R_bfn5mndHESG2Zxv,preview,EN,Yes,,,,,,,,,,,,,,,,,0,0,2.685,0,,,0,0,0.575,0,,0,0,2.218,0,,0,0,1.937,0,,0,0,0.128,0,,0,0,0.252,0,,0.002,0.002,0.183,1,,0,0,0.091,0,,0,0,0.217,0,,0,0,0.147,0,,0.026,0.378,2.724,3,,0,0,1.337,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/19 13:34,2/26/19 13:49,IP Address,100,932,TRUE,2/26/19 13:49,R_1BRERHcESfUrRxS,anonymous,EN,Yes,,,,,,,,,5.241,8.545,9.279,2,,,,,,,,,Against the tide: Fish quickly adapt to lethal levels of pollution,Atlantic killifish are 8000 times more resistant to pollution than other fish because they have more genetic variation. These killifish adapt quickly to high levels of chemical pollution in the environment. ,1.457,30.64,30.651,5,,1.055,17.063,17.068,4,,1.101,30.733,30.741,4,,3.24,41.147,45.71,3,autonomic,6.795,10.996,14.454,11,extreme,2.123,48.433,48.442,8,,2.143,24.652,27.784,18,striation,2.988,19.431,19.437,5,,4.118,27.243,27.149,5,,2.972,29.897,34.576,24,microscope,6.511,36.901,46.178,8,"1. conducts heat
2. conducts electricity
3. causes chemical reactions",Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Moderately unconfident,Moderately unlikely,Slightly likely,Equal numbers of men and women,Moderately more men,Neither important nor unimportant,Slightly useful,A moderate amount,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Sometimes,Strongly agree,Strongly agree,Strongly agree,Disagree,no idea,Woman,Woman,Psychological Sciences,,"Bioengineering,Chemical and Biomolecular Engineering,Civil and Environmental Engineering,Computational and Applied Mathematics,Computer Science,Electrical and Computer Engineering,Materials Science and NanoEngineering,Mechanical Engineering,Statistics,Astronomy,Astrophysics,Biochemistry and Cell Biology,Chemical Physics,Chemistry,Earth Science,Ecology and Evolutionary Biology,Environmental Science,Kinesiology,Mathematics,Neuroscience,Physics,Cognitive Sciences,Mathematical Economic Analysis",,6,2,"CHEM 121, COMP 140",Yes
2/26/19 13:38,2/26/19 13:56,IP Address,100,1051,TRUE,2/26/19 13:56,R_XyNcQFCqwhY4Kpr,anonymous,EN,Yes,,,,,,,,,,,,,,,,,0,0,77.179,0,Shell of plant virus sparks immune response against cancer,Using the shell of plant allows for the cancer virus to be counteracted by the body's immune system.,37.637,49.885,49.89,3,,43.243,52.712,52.716,2,,0.779,19.173,38.604,4,pippet,30.286,38.159,42.33,4,computation,2.664,2.664,6.687,1,experiment,39.038,39.038,39.043,1,,26.917,26.917,26.921,1,,19.912,19.912,19.916,1,,12.704,38.705,38.709,2,,75.497,80.201,83.969,2,microscope,11.862,11.862,30.603,1,"1. wrap items
2. separate substances",Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Disagree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Moderately confident,Extremely unlikely,Extremely unlikely,Equal numbers of men and women,Equal numbers of men and women,Slightly important,Slightly useful,Quite a bit,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Never,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,differences in perceptions of men and women in stem,Man,Man,"Political Science,Psychological Sciences",,"Architecture,Architectural Studies,Bioengineering,Chemical and Biomolecular Engineering,Civil and Environmental Engineering,Computational and Applied Mathematics,Computer Science,Electrical and Computer Engineering,Materials Science and NanoEngineering,Mechanical Engineering,Statistics,Astronomy,Astrophysics,Biochemistry and Cell Biology,Chemical Physics,Chemistry,Earth Science,Ecology and Evolutionary Biology,Environmental Science,Kinesiology,Mathematics,Neuroscience,Physics,Anthropology,Cognitive Sciences,Mathematical Economic Analysis",,8,0,none,yes
2/26/19 14:14,2/26/19 14:27,IP Address,100,753,TRUE,2/26/19 14:27,R_12bgpJXi9K1yoZB,anonymous,EN,Yes,,,,,,,,,0,0,4.031,0,,,,,,,,,Shell of plant virus sparks immune response against cancer,The article talked about a research scientist who has been working on understanding neural pathways in the context of aquatic animals. ,7.639,13.316,23.643,2,codiaim,1.039,27.686,32.036,2,equipment ,29.013,34.343,35.915,2,peeppit,1.843,1.843,12.913,1,N/A,0.94,2.049,19.787,2,extremepein,4.068,4.068,4.079,1,,2.432,2.432,11.192,1,sitinoart,1.194,2.209,6.563,2,N/A,1.272,1.272,3.75,1,N/A,2.117,2.117,7.061,1,n/A,4.504,4.504,41.665,1,"1. Examining conductivity 
2. covering and sealing flasks in the autoclave
3. covering hot plate",Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Somewhat agree,Somewhat disagree,Agree,Agree,Disagree,Agree,Slightly confident,Extremely likely,Extremely likely,Moderately more men,Moderately more men,Moderately important,Moderately useful,A great deal,Agree,Agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Agree,Agree,Disagree,Disagree,A considerable amount,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,To see if there are gender biases in the STEM field and how they affect performance. ,Woman,Woman,Biochemistry and Cell Biology,,"Bioengineering,Chemical and Biomolecular Engineering,Civil and Environmental Engineering,Computational and Applied Mathematics,Computer Science,Electrical and Computer Engineering,Materials Science and NanoEngineering,Mechanical Engineering,Statistics,Astronomy,Astrophysics,Biochemistry and Cell Biology,Chemical Physics,Chemistry,Earth Science,Ecology and Evolutionary Biology,Environmental Science,Kinesiology,Mathematics,Neuroscience,Physics,Cognitive Sciences,Mathematical Economic Analysis",,2,5,"Chem 121, Chem 122, Math 101, Math 102, Bioc 102",Yes
2/26/19 14:21,2/26/19 14:30,IP Address,100,542,TRUE,2/26/19 14:30,R_3plh6jT8U44Dpn3,anonymous,EN,Yes,,,,,,,,,0,0,55.838,0,,,,,,,,,Against the tide: Fish quickly adapt to lethal levels of pollution,"killifish can better adapt to chemicals, may be useful to human
",1.169,20.341,20.348,2,,2.911,2.911,2.918,1,,6.753,6.753,6.756,1,,2.283,2.283,2.287,1,,1.173,3.441,8.602,2,experiment,1.226,10.541,10.545,2,,2.573,2.573,2.577,1,,1.863,1.863,1.871,1,,2.015,2.015,2.019,1,,2.514,2.514,2.518,1,,2.552,2.552,66.628,1,"1. obstruct heat
2. reflect light
3. obstruct oil",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Slightly unconfident,Moderately likely,Moderately likely,Equal numbers of men and women,Slightly more men,Neither important nor unimportant,Neither useful nor useless,A moderate amount,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Rarely,Agree,Agree,Agree,Disagree,"gender equality in STEM
",Woman,Woman,Cognitive Sciences,,"Architecture,Architectural Studies,Bioengineering,Chemical and Biomolecular Engineering,Civil and Environmental Engineering,Computational and Applied Mathematics,Computer Science,Electrical and Computer Engineering,Materials Science and NanoEngineering,Mechanical Engineering,Statistics,Astronomy,Astrophysics,Biochemistry and Cell Biology,Chemical Physics,Chemistry,Earth Science,Ecology and Evolutionary Biology,Environmental Science,Kinesiology,Mathematics,Neuroscience,Physics,Anthropology,Cognitive Sciences,Economics,Mathematical Economic Analysis,Psychological Sciences",,6,10,math 101 math 102 stat 305 sos 302 neur ,no
2/26/19 14:03,2/26/19 14:44,IP Address,100,2482,TRUE,2/26/19 14:44,R_pT5JlbQZ36sYN9f,anonymous,EN,Yes,,,,,,,,,,,,,0,0,73.603,0,,,,,Genes for age-related cognitive decline found in adult worm neurons,Researchers have discovered gene mutations and information about the IIS pathway in adult worms that provide applicable information to human populations about memory decline with age.,2.386,966.036,966.042,14,,1.025,30.691,33.749,2,pinuoqiue,1.667,10.939,16.375,4,pippetee,2.019,649.752,649.756,3,,1.357,3.592,26.252,2,extremipen,5.862,5.862,5.866,1,,3.998,12.501,12.505,2,,4.947,4.947,4.952,1,,4.152,11.481,12.305,2,alcalenity,4.822,4.822,4.826,1,,8.612,8.612,81.651,1,"1. keep solutions in glass beakers warm
2. cover a workspace
3. put beneath things that will be warmed
",Somewhat disagree,Neither agree nor disagree,Agree,Disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Slightly confident,Slightly unlikely,Slightly likely,Moderately more men,Extremely more men,Moderately important,Extremely useful,A lot,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Agree,Somewhat agree,A considerable amount,Strongly agree,Strongly agree,Agree,Strongly disagree,to look at relationships between perceptions about stem ability and performance on stem tasks,Man,Worm,Mathematical Economic Analysis,,"Bioengineering,Chemical and Biomolecular Engineering,Civil and Environmental Engineering,Computational and Applied Mathematics,Computer Science,Electrical and Computer Engineering,Materials Science and NanoEngineering,Mechanical Engineering,Statistics,Astronomy,Astrophysics,Biochemistry and Cell Biology,Chemical Physics,Chemistry,Earth Science,Ecology and Evolutionary Biology,Environmental Science,Kinesiology,Mathematics,Neuroscience,Physics,Cognitive Sciences,Economics,Mathematical Economic Analysis,Psychological Sciences",,2,3,"MULT 212, ECON 200, ECON 203",yes
