"","article.cond","gender.cond","participant.gender","image.cond","z.interest.all","z.lead.all","z.dd.id.all","z.dd.belonging.all","z.dd.threat.all","z.dd.challenge.all","z.selfeff.all","z.pj.fit.all","z.confidence.all","interest.all","lead.all","dd.id.all","dd.belonging.all","dd.threat.all","dd.challenge.all","selfeff.all","pj.fit.all","confidence.all","interest_2","interest_3","interest_5","interest_6","interest_7","interest_8","interest_10","interest_11","interest_13","interest_15","interest_16","interest_18","interest_1R","interest_4R","interest_9R","interest_12R","interest_14R","interest_17R","lead_1","lead_2","lead_3","lead_4","lead_5","lead_6","dd.important","dd.useful","dd.care","dd.school_11","dd.school_12","dd.school_13R","dd.school_14R","dd.school_1","dd.school_2","dd.school_3","dd.school_4","dd.school_5","dd.school_6","dd.school_7","dd.school_8","dd.school_9","dd.school_10","dd.graduate","dd.prof","selfeff_1","selfeff_3","selfeff_2R","selfeff_4R","pj.fit_1","pj.fit_2","pj.fit_3","pj.fit_4","pj.fit_5","confidence_1","confidence_2","confidence_3","gender.belief_1","gender.belief_2","gender.belief_3","interest.rep.items","selfeff.interest.rep.items","age","race.cat.collapse"
"1","against","Female scientist","Men","Pictured",0.347706517322758,0.0667765625212955,0.906289735817475,-0.21698110859411,-0.747061743861469,0.757844084452551,-0.315994146174202,0.375421046569826,0.896700830391007,6.27777777777778,6.33333333333333,7,4.75,4.4,6.2,4.75,6,6.66666666666667,6,7,6,6,5,7,7,6,6,6,7,6,6,7,5,7,6,7,7,7,6,6,6,6,7,7,7,4,6,5,4,6,5,5,3,3,7,6,6,6,6,5,6,5,2,6,6,6,6,6,6,6,6,7,7,8,8,8,4.85,5.93333333333333,18,"White"
"2","genes","Female scientist","Women","Pictured",1.11279747881881,0.779059896081781,0.906289735817475,0.739785984419286,0.44681576356994,0.757844084452551,1.15184962960273,0.375421046569826,0.610845537211331,6.83333333333333,7,7,6,6,6.2,6.25,6,6.33333333333333,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,6,4,7,7,6,6,6,6,7,7,6,6,6,7,6,6,6,6,6,6,7,6,8,8,8,5.1,6.13333333333333,19,"Asian"
"3","genes","Male scientist","Men","Not pictured",-0.952948117220525,-0.467435937649068,0.0888042291472151,-0.408334527196789,0.297581075141013,0.409266928564724,-0.805275404766514,0.375421046569826,0.0391349508519797,5.33333333333333,5.83333333333333,6.33333333333333,4.5,5.8,5.8,4.25,6,5.66666666666667,5,5,5,5,6,6,6,6,5,4,3,5,6,6,6,6,6,5,6,6,6,6,6,5,6,7,6,4,4,5,5,6,6,6,6,5,6,6,6,6,5,2,4,4,5,3,5,6,6,6,6,6,6,5,6,6,7,8,4.35,4.73333333333333,19,"Asian"
"4","genes","Male scientist","Women","Not pictured",-1.41200269411815,0.779059896081781,0.0888042291472151,1.50519965883,-3.28405144715321,1.4549983962282,-1.04991603406267,1.25384355107861,1.18255612357068,5,7,6.33333333333333,7,1,7,4,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,5,7,7,7,7,1,1,1,1,1,7,7,7,7,7,1,7,7,7,1,1,7,7,7,7,7,7,7,7,6,8,8,4.4,7,21,"Asian"
"5","shell","Male scientist","Women","Not pictured",-0.340875348023686,-0.289365104258947,-0.319938524187914,0.165725728611249,-0.299357678574691,1.28070981828429,0.662568371010422,-0.327316957037202,0.324990244031655,5.77777777777778,6,6,5.25,5,6.8,5.75,5.2,6,6,6,6,6,7,7,1,6,6,6,6,6,6,6,7,6,6,4,6,6,6,6,6,6,6,6,6,6,6,5,4,5,5,5,5,5,6,7,7,7,7,4,6,5,6,6,6,6,5,5,5,5,6,6,6,8,8,8,4.65,5.73333333333333,20,"White"
"6","against","Male scientist","Women","Not pictured",0.653742901921178,0.422918229301539,0.497546982482345,0.548432565816607,-1.79170456286395,1.4549983962282,1.39649025889889,0.199736545668069,0.896700830391007,6.5,6.66666666666667,6.66666666666667,5.75,3,7,6.5,5.8,6.66666666666667,7,7,7,7,6,7,6,5,6,5,6,6,7,7,7,7,7,7,7,7,7,7,6,6,7,7,6,5,6,6,6,5,2,3,3,2,7,7,7,7,7,6,7,6,7,6,7,6,5,6,7,5,6,7,7,7,7,7,4.75,6,20,"Asian"
"7","against","Female scientist","Men","Pictured",0.271197421173154,0.244847395911417,0.0888042291472151,0.739785984419286,0.745285140427792,0.234978350620811,-1.04991603406267,0.375421046569826,-0.532575635507372,6.22222222222222,6.5,6.33333333333333,6,6.4,5.6,4,6,5,6,7,6,6,6,6,6,6,6,6,7,6,6,7,6,6,6,7,6,6,6,7,7,7,6,7,6,7,7,6,4,7,7,7,4,7,5,6,6,6,5,4,6,5,5,2,4,6,6,6,6,6,5,5,5,8,8,8,4.8,5.8,19,"White"
"8","against","Male scientist","Men","Not pictured",-2.94218461711025,-1.89200260477004,-2.77239504419869,-2.70457555042894,0.44681576356994,-2.03077316265006,-2.27311918054345,-1.5571084633495,-2.24770739458543,3.88888888888889,4.5,4,1.5,6,3,2.75,3.8,3,5,7,3,3,3,5,5,3,2,5,3,5,3,4,3,4,4,3,5,5,4,5,5,3,3,5,4,2,2,1,1,5,6,7,6,6,3,3,3,3,3,2,5,2,3,3,3,5,5,4,3,2,3,3,3,8,8,7,3.9,3.6,20,"White"
"9","shell","Male scientist","Men","Pictured",-1.71803907871657,-2.24814427155028,-0.728681277523043,-0.982394783004826,-0.150122990145765,-0.810753117042668,-1.53919729265498,-0.854370459742473,-0.818430928687048,4.77777777777778,4.16666666666667,5.66666666666667,3.75,5.2,4.4,3.5,4.6,4.66666666666667,5,4,6,5,5,3,5,4,5,4,5,5,5,6,4,5,5,5,4,5,3,5,4,4,6,5,6,4,5,3,3,6,6,5,6,3,4,5,4,4,5,4,5,5,2,4,3,5,5,5,4,4,5,5,4,2,6,4,4.2,5.26666666666667,19,"Asian"
"10","shell","Male scientist","Women","Not pictured",0.653742901921178,0.779059896081781,0.906289735817475,0.357079147213928,0.894519828856718,-0.287887383210928,-0.805275404766514,0.375421046569826,0.324990244031655,6.5,7,7,5.5,6.6,5,4.25,6,6,6,7,6,6,7,7,7,5,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,3,7,7,7,7,6,6,5,5,5,5,5,5,7,6,6,3,2,6,6,6,6,6,6,6,6,8,8,8,4.9,6.4,19,"White"
"11","genes","Male scientist","Men","Not pictured",0.118179228873943,0.779059896081781,-0.728681277523043,-1.55645503881286,0.745285140427792,-0.985041694986581,-1.04991603406267,-0.327316957037202,-1.96185210140575,6.11111111111111,7,5.66666666666667,3,6.4,4.2,4,5.2,3.33333333333333,5,6,6,6,5,6,6,6,6,7,5,5,6,7,7,7,7,7,7,7,7,7,7,7,6,6,5,2,4,3,3,5,7,7,6,7,4,4,5,3,5,6,7,4,3,5,4,5,5,5,6,5,3,3,4,7,7,7,4.65,5.93333333333333,18,"All other races"
"12","shell","Female scientist","Men","Pictured",0.959779286519598,0.779059896081781,0.906289735817475,1.12249282162464,-0.747061743861469,0.583555506508638,0.907209000306579,-0.327316957037202,1.18255612357068,6.72222222222222,7,7,6.5,4.4,6,6,5.2,7,7,7,7,7,7,7,7,7,6,4,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,5,5,4,4,4,6,6,6,6,6,3,7,6,6,6,6,6,6,6,4,4,7,7,7,8,8,8,4.95,6.46666666666667,20,"Asian"
"13","genes","Male scientist","Men","Pictured",1.18930657496841,0.779059896081781,0.906289735817475,0.931139403021965,-1.04553112071932,0.583555506508638,1.8857715174912,1.25384355107861,1.18255612357068,6.88888888888889,7,7,6.25,4,6,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,6,6,4,6,2,2,6,6,6,6,6,3,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,5.1,6.46666666666667,19,"White"
"14","against","Female scientist","Men","Not pictured",-0.0348389634252659,-0.289365104258947,0.0888042291472151,-0.599687945799468,1.19298920571457,0.234978350620811,-1.04991603406267,-0.151632456135445,-0.246720342327697,6,6,6.33333333333333,4.25,7,5.6,4,5.4,5.33333333333333,6,5,6,5,6,6,6,6,6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,6,6,7,6,5,6,3,3,7,7,7,7,7,6,6,5,6,5,6,6,6,5,3,2,5,6,5,5,6,6,5,5,7,7,7,4.65,5.93333333333333,18,"White"
"15","genes","Female scientist","Men","Pictured",0.883270190369993,0.779059896081781,0.906289735817475,1.50519965883,-1.04553112071932,1.4549983962282,0.662568371010422,0.72679004837334,0.610845537211331,6.66666666666667,7,7,7,4,7,5.75,6.4,6.33333333333333,7,7,7,7,7,7,7,7,6,3,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,2,3,7,7,7,7,7,3,7,6,5,6,6,7,6,7,6,6,6,6,7,8,8,8,4.9,6.33333333333333,21,"White"
"16","against","Female scientist","Women","Pictured",0.347706517322758,-0.111294270868825,0.497546982482345,0.931139403021965,0.44681576356994,0.409266928564724,0.907209000306579,-0.327316957037202,-0.246720342327697,6.27777777777778,6.16666666666667,6.66666666666667,6.25,6,5.8,6,5.2,5.33333333333333,7,7,6,7,6,7,7,6,6,5,7,6,6,6,6,6,6,6,6,6,6,7,6,6,6,7,7,7,6,6,6,7,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,5,6,5,5,5,5,5,6,8,8,8,4.95,5.73333333333333,18,"Black/African American"
"17","against","Female scientist","Women","Not pictured",-0.111348059574871,0.779059896081781,0.0888042291472151,-0.408334527196789,1.19298920571457,-0.985041694986581,-1.04991603406267,-0.151632456135445,-0.532575635507372,5.94444444444444,7,6.33333333333333,4.5,7,4.2,4,5.4,5,6,6,6,6,6,7,6,6,5,5,4,5,7,7,7,4,7,7,7,7,7,7,7,7,6,7,6,6,4,4,4,7,7,7,7,7,4,4,4,6,3,6,7,5,4,3,4,5,5,5,7,5,5,5,5,8,8,8,4.5,5.8,18,"White"
