"","Not pictured:Female scientist:Men","Pictured:Female scientist:Men","Not pictured:Male scientist:Men","Pictured:Male scientist:Men","Not pictured:Female scientist:Women","Pictured:Female scientist:Women","Not pictured:Male scientist:Women","Pictured:Male scientist:Women"
"n","35","50","38","55","32","44","34","48"
"STEM Career Interest (mean (SD))"," 0.05 (0.77)"," 0.13 (0.71)","-0.17 (1.55)","0.19 (0.86)","-0.36 (1.22)"," 0.23 (0.60)"," 0.14 (0.73)","-0.33 (1.19)"
"General STEM Interest (mean (SD))"," 0.07 (0.96)"," 0.05 (0.99)"," 0.02 (1.15)","0.07 (1.07)","-0.28 (0.87)"," 0.27 (0.66)","-0.01 (0.93)","-0.25 (1.17)"
"STEM Belonging (mean (SD))"," 0.27 (0.95)"," 0.06 (0.91)"," 0.19 (1.11)","0.01 (1.02)","-0.23 (0.96)","-0.03 (1.02)","-0.08 (1.02)","-0.18 (1.00)"
"Identification with STEM (mean (SD))"," 0.09 (0.74)","-0.04 (0.93)","-0.04 (1.22)","0.07 (1.07)"," 0.00 (0.77)"," 0.20 (0.84)"," 0.15 (0.85)","-0.36 (1.26)"
"Threat (mean (SD))","-0.24 (1.12)","-0.30 (1.00)","-0.20 (1.09)","0.00 (0.92)"," 0.15 (0.99)"," 0.45 (0.84)","-0.06 (1.18)"," 0.19 (0.76)"
"Challenge (mean (SD))"," 0.17 (1.20)"," 0.23 (0.72)"," 0.14 (0.90)","0.07 (0.95)","-0.28 (1.41)","-0.13 (0.90)"," 0.08 (1.01)","-0.30 (0.91)"
"STEM Self-Efficacy (mean (SD))"," 0.15 (1.16)"," 0.19 (1.02)"," 0.27 (1.05)","0.08 (0.99)","-0.31 (1.08)","-0.19 (0.88)","-0.07 (0.91)","-0.19 (0.86)"
"Person-Job Fit (mean (SD))"," 0.09 (1.12)"," 0.23 (0.76)"," 0.07 (1.25)","0.16 (0.94)","-0.37 (1.03)"," 0.05 (0.81)","-0.02 (0.89)","-0.35 (1.10)"
"Confidence (mean (SD))"," 0.07 (1.15)"," 0.26 (0.67)"," 0.11 (1.16)","0.14 (1.06)","-0.34 (1.11)"," 0.02 (0.81)","-0.06 (0.88)","-0.32 (1.05)"
